Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;2316;B1.jpg;grey.jpg;B2.jpg;B3.jpg;6215;1;4;0
5;treinoab1;2;A2.jpg;3631;grey.jpg;B1.jpg;B2.jpg;B3.jpg;4415;3;3;1
6;treinoab1;3;A1.jpg;1477;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2287;4;4;1
7;treinoab1;4;A3.jpg;1600;B3.jpg;B2.jpg;B1.jpg;grey.jpg;3088;1;1;1
8;treinoab1;5;A3.jpg;2163;B1.jpg;B2.jpg;B3.jpg;grey.jpg;3271;3;2;0
9;treinoab1;6;A1.jpg;884;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1992;2;2;1
10;treinoab1;7;A2.jpg;732;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2096;1;4;0
11;treinoab1;8;A3.jpg;1324;B2.jpg;B1.jpg;grey.jpg;B3.jpg;1527;4;4;1
12;treinoab1;9;A2.jpg;870;grey.jpg;B2.jpg;B1.jpg;B3.jpg;2088;2;2;1
13;treinoab1;10;A3.jpg;805;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1936;2;1;0
14;treinoab1;11;A1.jpg;1808;B2.jpg;grey.jpg;B1.jpg;B3.jpg;5168;3;3;1
15;treinoab1;12;A1.jpg;736;B1.jpg;grey.jpg;B3.jpg;B2.jpg;3871;1;1;1
16;treinoab1;13;A2.jpg;662;grey.jpg;B3.jpg;B2.jpg;B1.jpg;1224;3;3;1
17;treinoab1;14;A3.jpg;626;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1976;1;1;1
18;treinoab1;15;A1.jpg;4354;B3.jpg;B2.jpg;grey.jpg;B1.jpg;4136;4;4;1
19;treinoab1;16;A2.jpg;631;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1383;2;2;1
20;treinoab1;17;A2.jpg;3552;B3.jpg;B1.jpg;grey.jpg;B2.jpg;2023;4;1;0
21;treinoab1;18;A3.jpg;17432;B1.jpg;B2.jpg;B3.jpg;grey.jpg;10288;3;3;1
22;treinoab2;1;A3.jpg;1529;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1672;4;4;1
23;treinoab2;2;A2.jpg;1373;grey.jpg;B2.jpg;B3.jpg;B1.jpg;1216;2;2;1
24;treinoab2;3;A3.jpg;822;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3080;2;2;1
25;treinoab2;4;A1.jpg;1032;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1232;3;3;1
26;treinoab2;5;A3.jpg;792;B1.jpg;B2.jpg;grey.jpg;B3.jpg;2224;4;4;1
27;treinoab2;6;A1.jpg;713;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3104;1;1;1
28;treinoab2;7;A2.jpg;441;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1072;3;3;1
29;treinoab2;8;A1.jpg;591;B3.jpg;B2.jpg;B1.jpg;grey.jpg;1488;3;3;1
30;treinoab2;9;A2.jpg;475;B1.jpg;B3.jpg;grey.jpg;B2.jpg;1592;4;4;1
31;treinoab2;10;A3.jpg;453;B2.jpg;B3.jpg;grey.jpg;B1.jpg;4440;2;2;1
32;treinoab2;11;A2.jpg;469;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1648;4;4;1
33;treinoab2;12;A3.jpg;658;grey.jpg;B1.jpg;B3.jpg;B2.jpg;8376;3;3;1
34;treinoab2;13;A3.jpg;1358;B3.jpg;B2.jpg;grey.jpg;B1.jpg;2232;1;1;1
35;treinoab2;14;A1.jpg;668;B2.jpg;B1.jpg;B3.jpg;grey.jpg;2920;2;2;1
36;treinoab2;15;A1.jpg;531;B2.jpg;grey.jpg;B3.jpg;B1.jpg;2032;4;4;1
37;treinoab2;16;A2.jpg;583;B2.jpg;B3.jpg;grey.jpg;B1.jpg;704;1;1;1
38;treinoab2;17;A1.jpg;560;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1728;2;2;1
39;treinoab2;18;A2.jpg;573;B2.jpg;grey.jpg;B1.jpg;B3.jpg;648;1;1;1
40;treinoac1;1;A3.jpg;861;C1.jpg;C2.jpg;C3.jpg;grey.jpg;2752;3;3;1
41;treinoac1;2;A1.jpg;583;grey.jpg;C1.jpg;C3.jpg;C2.jpg;2512;2;4;0
42;treinoac1;3;A3.jpg;1057;C2.jpg;C1.jpg;grey.jpg;C3.jpg;1304;4;4;1
43;treinoac1;4;A2.jpg;616;grey.jpg;C2.jpg;C1.jpg;C3.jpg;2216;2;2;1
44;treinoac1;5;A2.jpg;6;grey.jpg;C1.jpg;C2.jpg;C3.jpg;1920;3;2;0
45;treinoac1;6;A3.jpg;1655;C1.jpg;C2.jpg;C3.jpg;grey.jpg;936;3;3;1
46;treinoac1;7;A2.jpg;685;C2.jpg;C3.jpg;grey.jpg;C1.jpg;2847;1;1;1
47;treinoac1;8;A3.jpg;738;C3.jpg;grey.jpg;C1.jpg;C2.jpg;4216;1;4;0
48;treinoac1;9;A1.jpg;1233;C3.jpg;C2.jpg;grey.jpg;C1.jpg;2696;4;4;1
49;treinoac1;10;A3.jpg;677;C3.jpg;C2.jpg;C1.jpg;grey.jpg;880;1;1;1
50;treinoac1;11;A1.jpg;739;C2.jpg;grey.jpg;C1.jpg;C3.jpg;1159;3;3;1
51;treinoac1;12;A1.jpg;449;C1.jpg;grey.jpg;C3.jpg;C2.jpg;3416;1;1;1
52;treinoac1;13;A2.jpg;774;grey.jpg;C3.jpg;C2.jpg;C1.jpg;1024;3;3;1
53;treinoac1;14;A1.jpg;929;C2.jpg;C3.jpg;grey.jpg;C1.jpg;1264;4;4;1
54;treinoac1;15;A2.jpg;662;grey.jpg;C2.jpg;C1.jpg;C3.jpg;9296;2;2;1
55;treinoac1;16;A3.jpg;665;C1.jpg;C3.jpg;C2.jpg;grey.jpg;1871;2;2;1
56;treinoac1;17;A2.jpg;692;C3.jpg;C1.jpg;grey.jpg;C2.jpg;1888;4;4;1
57;treinoac1;18;A1.jpg;617;C1.jpg;grey.jpg;C2.jpg;C3.jpg;960;1;4;0
58;treinoac2;1;A3.jpg;671;C1.jpg;C3.jpg;C2.jpg;grey.jpg;936;2;2;1
59;treinoac2;2;A3.jpg;473;grey.jpg;C1.jpg;C3.jpg;C2.jpg;1056;3;3;1
60;treinoac2;3;A2.jpg;636;C2.jpg;grey.jpg;C1.jpg;C3.jpg;1408;1;1;1
61;treinoac2;4;A1.jpg;558;C3.jpg;C2.jpg;C1.jpg;grey.jpg;1568;3;1;0
62;treinoac2;5;A2.jpg;683;C3.jpg;grey.jpg;C1.jpg;C2.jpg;4696;4;4;1
63;treinoac2;6;A1.jpg;615;C1.jpg;C3.jpg;C2.jpg;grey.jpg;1032;1;1;1
64;treinoac2;7;A2.jpg;594;grey.jpg;C1.jpg;C2.jpg;C3.jpg;1088;3;3;1
65;treinoac2;8;A3.jpg;639;C2.jpg;C3.jpg;grey.jpg;C1.jpg;784;2;2;1
66;treinoac2;9;A2.jpg;538;C1.jpg;C3.jpg;grey.jpg;C2.jpg;1368;4;4;1
67;treinoac2;10;A2.jpg;460;grey.jpg;C2.jpg;C3.jpg;C1.jpg;1960;2;2;1
68;treinoac2;11;A1.jpg;630;C3.jpg;grey.jpg;C1.jpg;C2.jpg;4328;3;3;1
