Trl;Block;BlkTrl;Samp;S.Lat;ChKey1;ChKey2;ChKey3;ChKey4;Chlat;ChCorr;HitKey;Result
4;treinoab1;1;A1.jpg;1438;B1.jpg;grey.jpg;B2.jpg;B3.jpg;5599;1;3;0
5;treinoab1;2;A2.jpg;1982;grey.jpg;B1.jpg;B2.jpg;B3.jpg;3110;3;2;0
6;treinoab1;3;A1.jpg;1120;B2.jpg;B3.jpg;grey.jpg;B1.jpg;4777;4;4;1
7;treinoab1;4;A3.jpg;5084;B3.jpg;B2.jpg;B1.jpg;grey.jpg;10751;1;2;0
8;treinoab1;5;A3.jpg;969;B1.jpg;B2.jpg;B3.jpg;grey.jpg;2743;3;3;1
9;treinoab1;6;A1.jpg;1109;grey.jpg;B1.jpg;B3.jpg;B2.jpg;2663;2;3;0
10;treinoab1;7;A2.jpg;983;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2287;1;4;0
11;treinoab1;8;A3.jpg;936;B2.jpg;B1.jpg;grey.jpg;B3.jpg;3744;4;2;0
12;treinoab1;9;A2.jpg;1985;grey.jpg;B2.jpg;B1.jpg;B3.jpg;2223;2;3;0
13;treinoab1;10;A3.jpg;727;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3304;2;3;0
14;treinoab1;11;A1.jpg;1106;B2.jpg;grey.jpg;B1.jpg;B3.jpg;5649;3;4;0
15;treinoab1;12;A1.jpg;559;B1.jpg;grey.jpg;B3.jpg;B2.jpg;2535;1;1;1
16;treinoab1;13;A2.jpg;613;grey.jpg;B3.jpg;B2.jpg;B1.jpg;2192;3;2;0
17;treinoab1;14;A3.jpg;667;B3.jpg;grey.jpg;B1.jpg;B2.jpg;3424;1;3;0
18;treinoab1;15;A1.jpg;486;B3.jpg;B2.jpg;grey.jpg;B1.jpg;4143;4;1;0
19;treinoab1;16;A2.jpg;717;grey.jpg;B2.jpg;B1.jpg;B3.jpg;8345;2;4;0
20;treinoab1;17;A2.jpg;520;B3.jpg;B1.jpg;grey.jpg;B2.jpg;3469;4;4;1
21;treinoab1;18;A3.jpg;768;B1.jpg;B2.jpg;B3.jpg;grey.jpg;4655;3;3;1
22;treinoab2;1;A3.jpg;424;grey.jpg;B1.jpg;B2.jpg;B3.jpg;4902;4;4;1
23;treinoab2;2;A2.jpg;515;grey.jpg;B2.jpg;B3.jpg;B1.jpg;3503;2;2;1
24;treinoab2;3;A3.jpg;292;B1.jpg;B3.jpg;B2.jpg;grey.jpg;3095;2;2;1
25;treinoab2;4;A1.jpg;592;B3.jpg;grey.jpg;B1.jpg;B2.jpg;3199;3;1;0
26;treinoab2;5;A3.jpg;627;B1.jpg;B2.jpg;grey.jpg;B3.jpg;2787;4;2;0
27;treinoab2;6;A1.jpg;525;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2296;1;3;0
28;treinoab2;7;A2.jpg;805;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1529;3;4;0
29;treinoab2;8;A1.jpg;602;B3.jpg;B2.jpg;B1.jpg;grey.jpg;2527;3;3;1
30;treinoab2;9;A2.jpg;747;B1.jpg;B3.jpg;grey.jpg;B2.jpg;2048;4;2;0
31;treinoab2;10;A3.jpg;582;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1439;2;2;1
32;treinoab2;11;A2.jpg;428;B3.jpg;grey.jpg;B1.jpg;B2.jpg;4184;4;4;1
33;treinoab2;12;A3.jpg;555;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1528;3;3;1
34;treinoab2;13;A3.jpg;283;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1223;1;1;1
35;treinoab2;14;A1.jpg;282;B2.jpg;B1.jpg;B3.jpg;grey.jpg;2144;2;1;0
36;treinoab2;15;A1.jpg;497;B2.jpg;grey.jpg;B3.jpg;B1.jpg;2392;4;3;0
37;treinoab2;16;A2.jpg;296;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1480;1;1;1
38;treinoab2;17;A1.jpg;564;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1000;2;2;1
39;treinoab2;18;A2.jpg;463;B2.jpg;grey.jpg;B1.jpg;B3.jpg;2359;1;4;0
40;treinoab3;1;A2.jpg;305;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1824;3;3;1
41;treinoab3;2;A1.jpg;299;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1824;1;4;0
42;treinoab3;3;A3.jpg;399;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1303;1;2;0
43;treinoab3;4;A1.jpg;696;B3.jpg;grey.jpg;B2.jpg;B1.jpg;1976;4;1;0
44;treinoab3;5;A3.jpg;757;grey.jpg;B1.jpg;B3.jpg;B2.jpg;12008;3;2;0
45;treinoab3;6;A2.jpg;497;B2.jpg;B3.jpg;grey.jpg;B1.jpg;8321;1;2;0
46;treinoab3;7;A1.jpg;314;grey.jpg;B1.jpg;B2.jpg;B3.jpg;3106;2;4;0
47;treinoab3;8;A1.jpg;312;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1528;3;3;1
48;treinoab3;9;A2.jpg;328;B3.jpg;B2.jpg;B1.jpg;grey.jpg;8367;2;2;1
49;treinoab3;10;A3.jpg;409;B1.jpg;grey.jpg;B2.jpg;B3.jpg;1247;4;4;1
50;treinoab3;11;A3.jpg;365;B2.jpg;B3.jpg;B1.jpg;grey.jpg;1216;2;2;1
51;treinoab3;12;A1.jpg;336;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1048;1;3;0
52;treinoab3;13;A2.jpg;309;B3.jpg;B1.jpg;B2.jpg;grey.jpg;1151;3;2;0
53;treinoab3;14;A1.jpg;380;B2.jpg;B3.jpg;grey.jpg;B1.jpg;1959;4;1;0
54;treinoab3;15;A3.jpg;560;B3.jpg;B1.jpg;grey.jpg;B2.jpg;1175;1;1;1
55;treinoab3;16;A2.jpg;409;grey.jpg;B2.jpg;B1.jpg;B3.jpg;2128;2;4;0
56;treinoab3;17;A2.jpg;372;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1120;4;3;0
57;treinoab3;18;A3.jpg;442;B2.jpg;grey.jpg;B3.jpg;B1.jpg;2503;3;3;1
4;treinoab4;1;A1.jpg;6728;B1.jpg;grey.jpg;B2.jpg;B3.jpg;3112;1;4;0
5;treinoab4;2;A2.jpg;10493;grey.jpg;B1.jpg;B2.jpg;B3.jpg;12680;3;3;1
6;treinoab4;3;A1.jpg;2493;B2.jpg;B3.jpg;grey.jpg;B1.jpg;10920;4;2;0
7;treinoab4;4;A3.jpg;715;B3.jpg;B2.jpg;B1.jpg;grey.jpg;3350;1;2;0
8;treinoab4;5;A3.jpg;692;B1.jpg;B2.jpg;B3.jpg;grey.jpg;1656;3;3;1
9;treinoab4;6;A1.jpg;839;grey.jpg;B1.jpg;B3.jpg;B2.jpg;1983;2;2;1
10;treinoab4;7;A2.jpg;614;B2.jpg;B3.jpg;grey.jpg;B1.jpg;6935;1;4;0
11;treinoab4;8;A3.jpg;796;B2.jpg;B1.jpg;grey.jpg;B3.jpg;1783;4;4;1
12;treinoab4;9;A2.jpg;829;grey.jpg;B2.jpg;B1.jpg;B3.jpg;3247;2;2;1
13;treinoab4;10;A3.jpg;621;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1576;2;2;1
14;treinoab4;11;A1.jpg;615;B2.jpg;grey.jpg;B1.jpg;B3.jpg;6207;3;3;1
15;treinoab4;12;A1.jpg;473;B1.jpg;grey.jpg;B3.jpg;B2.jpg;1287;1;3;0
16;treinoab4;13;A2.jpg;9598;grey.jpg;B3.jpg;B2.jpg;B1.jpg;2151;3;2;0
17;treinoab4;14;A3.jpg;787;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1157;1;1;1
18;treinoab4;15;A1.jpg;585;B3.jpg;B2.jpg;grey.jpg;B1.jpg;1094;4;4;1
19;treinoab4;16;A2.jpg;551;grey.jpg;B2.jpg;B1.jpg;B3.jpg;1071;2;3;0
20;treinoab4;17;A2.jpg;368;B3.jpg;B1.jpg;grey.jpg;B2.jpg;1248;4;4;1
21;treinoab4;18;A3.jpg;612;B1.jpg;B2.jpg;B3.jpg;grey.jpg;856;3;3;1
22;treinoab5;1;A3.jpg;410;grey.jpg;B1.jpg;B2.jpg;B3.jpg;871;4;4;1
23;treinoab5;2;A2.jpg;443;grey.jpg;B2.jpg;B3.jpg;B1.jpg;1704;2;2;1
24;treinoab5;3;A3.jpg;340;B1.jpg;B3.jpg;B2.jpg;grey.jpg;1151;2;2;1
25;treinoab5;4;A1.jpg;608;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1136;3;3;1
26;treinoab5;5;A3.jpg;281;B1.jpg;B2.jpg;grey.jpg;B3.jpg;2495;4;4;1
27;treinoab5;6;A1.jpg;329;B1.jpg;B3.jpg;B2.jpg;grey.jpg;2184;1;1;1
28;treinoab5;7;A2.jpg;365;grey.jpg;B1.jpg;B2.jpg;B3.jpg;1240;3;3;1
29;treinoab5;8;A1.jpg;287;B3.jpg;B2.jpg;B1.jpg;grey.jpg;1760;3;3;1
30;treinoab5;9;A2.jpg;433;B1.jpg;B3.jpg;grey.jpg;B2.jpg;1302;4;4;1
31;treinoab5;10;A3.jpg;297;B2.jpg;B3.jpg;grey.jpg;B1.jpg;2320;2;2;1
32;treinoab5;11;A2.jpg;535;B3.jpg;grey.jpg;B1.jpg;B2.jpg;1392;4;4;1
